╔══════════════════════════════════════════════════════════════════════════════╗
║                         Unit Diff Report (813×1626)                          ║
╠══════════════════════════════════════════════════════════════════════════════╣
║ Name                           │ Ext  │    Diff% │   Actual(WxH) │ Expected(WxH) │ Status       ║
║ fo_lenient_coord               │ zpl  │    0.02% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ font_p                         │ zpl  │    0.17% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ font_q                         │ zpl  │    0.17% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ font_s                         │ zpl  │    0.36% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ gb_0_height                    │ zpl  │    0.00% │      813x1626 │      813x1626 │ PERFECT      ║
║ gb_0_width                     │ zpl  │    0.00% │      813x1626 │      813x1626 │ PERFECT      ║
║ gb_normal                      │ zpl  │    0.00% │      813x1626 │      813x1626 │ PERFECT      ║
║ gb_rounded                     │ zpl  │    0.07% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ gd_default_params              │ zpl  │    0.12% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ gd_thick                       │ zpl  │    0.08% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ gd_thin_l                      │ zpl  │    0.03% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ gd_thin_r                      │ zpl  │    0.03% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ gs                             │ zpl  │    1.14% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ maxicode_default_mode2         │ zpl  │    0.59% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ maxicode_mode4                 │ zpl  │    0.58% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ mu_dpi_conversion              │ zpl  │    0.06% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ mu_millimeters                 │ zpl  │    3.18% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ pdf417_basic                   │ zpl  │    0.29% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ postnl_qr                      │ zpl  │    0.00% │      813x1626 │      813x1626 │ PERFECT      ║
║ qr_code_ft_manual              │ zpl  │    0.29% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ qr_code_offset                 │ zpl  │    0.00% │      813x1626 │      813x1626 │ PERFECT      ║
║ qr_ft_600                      │ zpl  │    0.47% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ qr_ft_by100                    │ zpl  │    0.47% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ qr_ft_test                     │ zpl  │    0.47% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ return_qrcode                  │ zpl  │    1.96% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ reverse                        │ zpl  │    0.25% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ reverse_qr                     │ zpl  │    0.12% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ templating                     │ zpl  │    1.17% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ text_fallback_default          │ zpl  │    2.84% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ text_fo_b                      │ zpl  │    0.09% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_fo_i                      │ zpl  │    0.11% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_fo_n                      │ zpl  │    0.03% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_fo_r                      │ zpl  │    0.06% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_ft_auto_pos               │ zpl  │    0.93% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_ft_b                      │ zpl  │    0.03% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_ft_i                      │ zpl  │    0.03% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_ft_n                      │ zpl  │    0.05% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_ft_r                      │ zpl  │    0.06% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_multiline                 │ zpl  │    0.24% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ ups_maxicode                   │ zpl  │    0.75% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ usps_priority_mail             │ zpl  │    0.32% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ usps_test_merchant             │ zpl  │    0.07% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
╠══════════════════════════════════════════════════════════════════════════════╣
║ Summary: 65 total │ 5 perfect │ 51 good │ 7 minor │ 2 moderate │ 0 high │ 0 skip │ 0 err
╚══════════════════════════════════════════════════════════════════════════════╝
